Nombre,Subcategoria,Precio,Ruta de la Imagen,Calorias,Grasas,Carbohidratos,Proteínas,Fibra,Sal,Azúcares,supermercado,Categoria
Bebida energética sabor guayaba Rockstar lata 500 ml,AguaRefrescosZumos,"1,50 €",https://www.dia.es/product_images/246425/246425_ISO_0_ES.jpg?imwidth=176,56kcal,0g,14g,0g,0.0,"0,09g",0.0,Día,Bebidas
San Jacobos de cerdo sin gluten,Cerdo,"2,52 €",img_mercadona\Cerdo\Cerdo\San_Jacobos_de_cerdo_sin_gluten_12.jpg,179.0,3.5,29.0,7.5,0.0,0.25,0.01,Mercadona,Carnes y Pescados
Refresco de cola light Coca-Cola lata 33 cl,AguaRefrescosZumos,"0,89 €",https://www.dia.es/product_images/696/696_ISO_0_ES.jpg?imwidth=176,Menos de una kcal,0g,0g,0g,0.0,"0,02g",0.0,Día,Bebidas
Chicles sabor mentol fuerte Orbit bote 46 unidades,AzucarChocolatesCaramelos,"2,99 €",https://www.dia.es/product_images/302627/302627_ISO_0_ES.jpg?imwidth=176,142kcal,0g,59g,0g,0.0,0g,0.0,Día,Dulces y Snacks
MENSAJERO Mitades de melocotón en almíbar sin azúcar añadido MENSAJERO 240 g. peso neto escurrido,Desayuno y Merienda,"2,35 €",img_alcampo/Desayuno y Merienda\MENSAJERO_Mitades_de_melocotón_en_almíbar_sin_azúcar_añadido_MENSAJERO_240_g._peso_neto_escurrido_202.jpg,204,8.6,5.2,23.2,0.0,0.9,1.8,Alcampo,Alimentos Procesados
Café molido descafeinado natural Hacendado,Café molido y en grano,"4,85 €",img_mercadona\Café_molido_y_en_grano\Café_molido\Café_molido_descafeinado_natural_Hacendado_6.jpg,179.68,6.74,20.81,8.41,0.0,0.0,0.23,Mercadona,Bebidas
Avellanas al natural Naturmundo de Dia bolsa 150 g,PatatasFritasEncurtidosFrutosSecos,"2,15 €",https://www.dia.es/product_images/290563/290563_ISO_0_ES.jpg?imwidth=176,654kcal,"60,8g",7g,15g,0.0,0g,0.0,Día,Dulces y Snacks
Mermelada de frambuesa diet La vieja fábrica frasco 280 g,AzucarChocolatesCaramelos,"2,99 €",https://www.dia.es/product_images/229936/229936_ISO_0_ES.jpg?imwidth=176,165kcal,0g,40g,"0,8g",0.0,0g,0.0,Día,Dulces y Snacks
LUENGO Granja Alubia en paquete 500 g.,Arroz y Legumbres,"1,82 €",img_alcampo/Arroz y Legumbres\LUENGO_Granja_Alubia_en_paquete_500_g._218.jpg,201,8.9,21.3,12.8,0.0,1.0,1.1,Alcampo,Alimentos Básicos
Yogur cremoso con melocotón y maracuyá Dia Láctea tarrina 1 Kg,YoguresPostres,"2,49 €",https://www.dia.es/product_images/295530/295530_ISO_0_ES.jpg?imwidth=176,93kcal,3g,12g,"3,9g",0.0,"0,1g",0.0,Día,Lácteos y Huevos
Vermouth rosso Martini,Licores,"10,70 €",img_mercadona\Licores\Vermouth_y_aperitivos\Vermouth_rosso_Martini_3.jpg,179.68,6.74,20.81,8.41,0.0,0.1,15.59,Mercadona,Bebidas
Refresco de té verde Upss Dia lata 33 cl,AguaRefrescosZumos,"0,50 €",https://www.dia.es/product_images/207369/207369_ISO_0_ES.jpg?imwidth=176,16kcal,0g,"3,8g",0g,0.0,"0,03g",0.0,Día,Bebidas
Albóndigas mixtas (cerdo-vacuno) ROLER 667 gr. 20 uds.,burguer_meat_picada,"4,45 €",img_alcampo/burguer_meat_picada\Albóndigas_mixtas_(cerdo-vacuno)_ROLER_667_gr._20_uds._8.jpg,208,19.3,3.7,18.1,0.0,0.7,7.8,Alcampo,Carnes y Pescados
Garbanzos con verduras cocidas Luengo frasco 400 g,ArrozPastasLegumbres,"1,45 €",https://www.dia.es/product_images/189831/189831_ISO_0_ES.jpg?imwidth=176,83kcal,"1,4g",10g,"4,7g",0.0,"0,63g",0.0,Día,Alimentos Básicos
Gaseosa La Casera grande,Agua,"1,20 €",img_mercadona\Agua\Gaseosa\Gaseosa_La_Casera_grande_4.jpg,0.0,0.0,0.0,0.0,0.0,1.59,0.69,Mercadona,Bebidas
Queso semicurado mezcla Hacendado cortado en cuñitas,"Queso curado, semicurado y tierno","4,58 €","img_mercadona\Queso_curado,_semicurado_y_tierno\Queso_semicurado\Queso_semicurado_mezcla_Hacendado_cortado_en_cuñitas_3.jpg",179.68,6.74,20.81,8.41,0.44,1.5,0.1,Mercadona,Lácteos y Huevos
Concha fina al natural Ubago lata 55 GR,ConservasCaldosCremas,"2,39 €",https://www.dia.es/product_images/238344/238344_ISO_0_ES.jpg?imwidth=176,93kcal,"1,3g","2,5g","17,8g",0.0,"1,7g",0.0,Día,Alimentos Procesados
Pizza smoky grilled pork Al Punto Dia bandeja 480 g,PizzasPlatosPreparados,"2,99 €",https://www.dia.es/product_images/298845/298845_ISO_0_ES.jpg?imwidth=176,250kcal,"6,7g","36,9g","9,4g",0.0,"1,6g",0.0,Día,Alimentos Procesados
